"id","locationID","locality","countrCode","occurrenceStatus","eventDate","datasetID"
"PB:Ugent:AqE:273","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-08-25","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:274","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-06-27","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:276","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-03-26","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:277","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-08-23","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:278","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-08-23","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:418","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-08-09","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:425","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-06-01","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:281","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-08-02","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:282","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-05-13","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:283","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-04-04","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:424","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-08-09","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:297","ISO_3166-2:BE-VLG","Flandres","BE","present","1996-05-23","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:431","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-08-03","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:415","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-04-03","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:314","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-09-01","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1707","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-10-09","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:325","ISO_3166-2:BE-VLG","Flandres","BE","present","1992-06-12","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1711","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-09-29","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1712","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-09-29","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:323","ISO_3166-2:BE-VLG","Flandres","BE","present","1992-05-22","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:336","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-06-16","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:331","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-09-08","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:340","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-05-26","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:288","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-07-31","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:441","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-06-27","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:248","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-09-27","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:258","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-09-27","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:286","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-08-19","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:289","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-07-27","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
