taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,eventDate,source
alien-macroinvertebrates-checklist:taxon:bd73d8330e885cddd5bbe6c8138abdc3,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2000/2016,"Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39"
alien-macroinvertebrates-checklist:taxon:bd9b163269d78dbb5edb3882217bc6c8,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1911/2016,"Adam W, Leloup E (1934) Sur la présence du gastéropode Crepidula fornicata (Linné, 1758) sur la côte belge. Bulletin du Musée royal d'Histoire naturelle de Belgique 10: 1–5"
alien-macroinvertebrates-checklist:taxon:c1fb49c5a5db07379fbee670706c39f7,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1996/2016,"Faasse M, Van Moorsel G (2003) The North-American amphipods, Melita nitida Smith, 1873 and Incisocalliope aestuarius (Watling and Maurer, 1973) (Crustacea: Amphipoda: Gammaridea), introduced to the western Scheldt estuary (The Netherlands). Aquatic Ecology 37: 13–22, https://doi.org/10.1023/A:1022120729031"
alien-macroinvertebrates-checklist:taxon:c85e7a3a9882c02b8c484c9d674d8a18,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1999/2016,"Verslycke T, Janssen C, Lock K, Mees J (2000) First occurrence of the Pontocaspian invader Hemimysis anomala (Sars, 1907) in Belgium (Crustacea: Mysidacea). Belgian Journal of Zoology 130: 157–158"
alien-macroinvertebrates-checklist:taxon:cab81fa3e1a46a4562e219a0e4977d83,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2003/2016,"Dumoulin E (2004) Snelle areaaluitbreiding van het penseelkrabbetje Hemigrapsus penicillatus (de Haan, 1835) langs de kusten van de Zuidelijke Bocht van de Noordzee, status van haar opmars in de Westerschelde en beschouwingen over de ecologie en het gedrag van de soort. De Strandvlo 24(1): 5-35"
alien-macroinvertebrates-checklist:taxon:cb35e00d077b73db575801f04275e8af,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1927/2016,"Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp"
alien-macroinvertebrates-checklist:taxon:cebedf4407f487b424807ccd5478bfe6,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1952/2016,"Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, https://doi.org/10.1007/BF03043033"
alien-macroinvertebrates-checklist:taxon:d30825c114838fe344aaf93e75d6d5bd,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1924/2016,"Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp"
alien-macroinvertebrates-checklist:taxon:d9c2fd07436f56f3824955c88261e76e,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1997/2016,"Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, https://doi.org/10.1007/BF03043033"
alien-macroinvertebrates-checklist:taxon:db1c88330fce94a3483451f1e0fbc6af,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1700/2016,"Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, https://doi.org/10.1007/BF03043033"
